Time,Fx,Fy,Fz,Tx,Ty,Tz
35.3,-59.1511,18.06159,235.6851,1.272641,-22.68408,5.764686
35.4,-56.60884,10.10346,207.4871,2.021814,-27.7432,8.943445
35.5,-62.34655,8.486625,207.407,2.711467,-27.9831,8.672643
35.6,-65.04315,8.568487,210.071,2.481818,-28.02846,9.054356
35.7,-63.53185,10.19295,210.3194,2.513955,-27.21597,9.240496
35.8,-64.58116,8.443188,208.3324,2.841027,-28.03208,9.060501
35.9,-63.56545,10.52785,207.898,2.298237,-27.79781,8.836932
36,-62.67746,10.55441,207.6953,2.37341,-27.42568,8.860057
36.1,-64.51453,10.34266,208.1812,2.308956,-28.06061,8.85345
36.2,-63.77575,10.38769,207.6635,2.650846,-27.66194,8.934578
36.3,-64.68455,10.2912,207.5284,2.495966,-27.94177,9.032115
36.4,-64.31342,10.22711,207.3055,2.544029,-27.69211,8.981247
36.5,-65.26688,10.51896,207.7417,2.372607,-28.14924,8.813786
36.6,-63.86668,11.14734,207,2.35128,-27.61173,9.03482
36.7,-64.99704,10.48958,207.8176,2.528781,-28.0772,8.846118
36.8,-64.11895,10.8494,207.5431,2.527842,-27.65745,9.032328
36.9,-64.35946,10.48469,207.424,2.533349,-27.83521,8.957909
37,-64.04431,10.70942,207.0668,2.379331,-27.76882,8.966524
37.1,-47.98299,28.89856,167.503,0.588588,-29.16999,7.516994
37.2,-32.1802,39.08419,126.3806,-0.879442,-28.23309,7.224864
37.3,-42.32166,26.39354,127.4422,0.967603,-28.56374,9.819456
37.4,-56.10392,12.16851,175.5863,3.55416,-25.94439,9.834487
37.5,-92.2313,10.05606,268.4102,4.290414,-22.94133,7.073853
37.6,-88.5859,10.09561,285.8298,4.511366,-23.99525,6.025838
37.7,-77.20953,12.01186,260.0334,3.96067,-23.59386,7.983657
37.8,-53.05561,4.106575,221.7074,4.646274,-22.46092,9.828027
37.9,-47.9642,8.5887,206.6066,3.853046,-23.20966,9.900527
38,-52.60805,20.11942,205.0268,2.986304,-24.96908,7.62496
38.1,-62.14278,13.64055,205.5443,3.849022,-25.28992,9.767594
38.2,-65.72561,13.5765,206.3607,3.809816,-23.64817,9.803591
38.3,-62.91486,14.8973,208.8844,2.93785,-23.98806,9.72222
38.4,-60.39307,11.39281,201.0888,3.259474,-25.28044,9.785567
